investor_id,age,income_band,state,city_tier,txn_type,amount,scheme_code,txn_date
INV60323,24,25L+,Gujarat,Tier1,SIP,25000,125497,2025-04-16
INV67357,56,25L+,Tamil Nadu,Tier1,SIP,50000,119551,2024-10-19
INV77855,22,12-25L,Kerala,Tier1,SIP,1000,120503,2024-01-04
INV81808,27,12-25L,Karnataka,Tier3,SIP,10000,125497,2026-01-14
INV68288,35,12-25L,Telangana,Tier3,SIP,5000,118632,2024-08-17
INV16556,42,12-25L,Kerala,Tier2,SIP,2000,125497,2024-12-20
INV98755,58,12-25L,Maharashtra,Tier3,Lumpsum,5000,119092,2025-04-14
INV34997,64,12-25L,West Bengal,Tier3,SIP,10000,120503,2026-02-25
INV74304,37,25L+,Telangana,Tier2,SIP,2000,125497,2025-02-25
INV63060,43,25L+,MP,Tier1,SIP,2000,120503,2023-07-02
INV72686,39,12-25L,UP,Tier1,SIP,500,119551,2024-12-03
INV21816,50,25L+,Rajasthan,Tier1,SIP,500,119092,2022-11-13
INV24616,55,25L+,MP,Tier3,SIP,1000,119551,2022-07-26
INV88403,33,25L+,Karnataka,Tier1,SIP,1000,120841,2025-12-27
INV76738,30,25L+,West Bengal,Tier2,Redemption,10000,118632,2024-09-03
INV77096,32,5-12L,Rajasthan,Tier1,Redemption,2000,118632,2023-10-02
INV49633,51,12-25L,Maharashtra,Tier2,Lumpsum,2000,120841,2024-09-03
INV42630,41,5-12L,Kerala,Tier3,SIP,25000,120841,2024-05-21
INV73418,43,12-25L,Rajasthan,Tier3,SIP,2000,120503,2025-12-31
INV95899,61,5-12L,MP,Tier3,Lumpsum,50000,120841,2025-05-08
INV30985,54,5-12L,UP,Tier2,SIP,5000,118632,2024-10-28
INV67041,34,5-12L,Delhi,Tier2,SIP,10000,119551,2022-12-17
INV69168,57,5-12L,MP,Tier2,SIP,1000,125497,2023-06-22
INV50901,56,5-12L,MP,Tier1,Lumpsum,500,118632,2022-07-05
INV20380,38,12-25L,Kerala,Tier1,SIP,1000,125497,2023-11-08
INV46096,48,25L+,Kerala,Tier1,SIP,50000,120841,2022-08-09
INV62973,56,5-12L,Delhi,Tier2,SIP,50000,120503,2022-06-28
INV73978,57,12-25L,Tamil Nadu,Tier1,SIP,2000,119551,2024-03-12
INV36556,51,25L+,Rajasthan,Tier1,Redemption,50000,125497,2024-04-06
INV19537,26,25L+,Telangana,Tier1,SIP,50000,119551,2024-01-08
INV26004,40,5-12L,Maharashtra,Tier2,SIP,10000,119551,2025-06-13
INV71306,57,25L+,Punjab,Tier3,SIP,2000,119551,2025-04-13
INV74299,56,5-12L,UP,Tier1,SIP,50000,118632,2025-11-07
INV92414,26,5-12L,Karnataka,Tier1,SIP,5000,118632,2022-03-26
INV30402,22,5-12L,UP,Tier3,SIP,25000,120503,2024-11-09
INV77205,57,12-25L,Tamil Nadu,Tier1,Lumpsum,1000,119551,2025-08-09
INV59783,45,12-25L,Punjab,Tier1,SIP,500,118632,2025-03-26
INV62878,33,5-12L,Punjab,Tier1,Lumpsum,5000,119092,2024-01-14
INV37824,37,12-25L,Tamil Nadu,Tier2,Lumpsum,1000,120841,2022-07-10
INV78375,25,12-25L,Tamil Nadu,Tier1,Lumpsum,1000,125497,2023-09-30
INV72923,64,25L+,Karnataka,Tier3,SIP,10000,120841,2023-09-21
INV26527,59,25L+,Kerala,Tier3,SIP,50000,118632,2022-12-20
INV52583,50,25L+,Delhi,Tier1,SIP,25000,119092,2024-05-31
INV44555,57,12-25L,Telangana,Tier2,SIP,500,120841,2024-08-20
INV43482,42,12-25L,Delhi,Tier1,Lumpsum,2000,125497,2025-08-15
INV41367,46,5-12L,Gujarat,Tier3,SIP,1000,125497,2023-05-19
INV50541,46,12-25L,Telangana,Tier3,SIP,500,125497,2022-12-06
INV63832,60,25L+,Rajasthan,Tier3,Lumpsum,1000,125497,2024-01-22
INV84702,42,25L+,Kerala,Tier2,SIP,500,120503,2024-07-26
INV51750,30,5-12L,Telangana,Tier1,SIP,1000,120503,2022-11-28
INV19418,40,12-25L,Tamil Nadu,Tier1,Lumpsum,500,119551,2023-05-28
INV40943,37,5-12L,Maharashtra,Tier2,SIP,2000,120841,2024-09-03
INV47681,30,25L+,MP,Tier1,SIP,50000,119092,2022-06-21
INV14577,26,12-25L,Rajasthan,Tier2,Lumpsum,500,120841,2025-04-21
INV19307,57,25L+,West Bengal,Tier1,SIP,50000,119551,2023-10-05
INV15609,35,12-25L,Kerala,Tier1,Lumpsum,10000,120841,2022-09-30
INV82120,64,5-12L,UP,Tier2,Redemption,5000,120841,2023-09-02
INV82475,39,25L+,Rajasthan,Tier2,SIP,500,119551,2022-11-06
INV98368,26,25L+,MP,Tier1,SIP,10000,119092,2023-10-16
INV49571,40,25L+,Rajasthan,Tier2,Redemption,50000,119092,2023-09-19
INV79563,36,5-12L,UP,Tier3,SIP,5000,119551,2024-11-20
INV41537,45,12-25L,Delhi,Tier3,SIP,2000,118632,2022-06-01
INV37511,29,12-25L,Telangana,Tier3,SIP,2000,119092,2024-06-19
INV78234,54,12-25L,Delhi,Tier2,Redemption,25000,119551,2024-08-13
INV19413,50,25L+,Maharashtra,Tier2,SIP,50000,125497,2026-01-18
INV92918,46,25L+,Maharashtra,Tier2,Lumpsum,500,120841,2024-06-19
INV17493,23,12-25L,Telangana,Tier1,SIP,25000,119551,2024-01-16
INV50695,22,12-25L,Punjab,Tier3,Lumpsum,2000,120841,2023-08-20
INV86579,46,5-12L,Delhi,Tier3,Lumpsum,1000,125497,2024-03-05
INV29337,45,5-12L,Kerala,Tier1,Lumpsum,50000,120841,2022-10-28
INV93797,47,25L+,MP,Tier2,SIP,2000,120503,2025-07-21
INV55480,42,5-12L,West Bengal,Tier2,SIP,50000,120841,2023-11-11
INV94144,37,5-12L,UP,Tier1,Lumpsum,500,119551,2025-09-02
INV16201,34,25L+,Delhi,Tier3,SIP,50000,120841,2024-04-12
INV55582,41,12-25L,Telangana,Tier2,SIP,1000,125497,2023-08-26
INV81144,48,5-12L,Maharashtra,Tier2,SIP,5000,120841,2022-12-09
INV50259,28,12-25L,Tamil Nadu,Tier2,SIP,2000,118632,2026-02-24
INV27887,39,5-12L,Punjab,Tier2,SIP,50000,118632,2024-11-08
INV99165,59,25L+,Rajasthan,Tier2,SIP,5000,120503,2022-02-27
INV28401,44,12-25L,Kerala,Tier2,SIP,50000,119551,2025-02-03
INV59060,34,12-25L,MP,Tier2,Redemption,500,119092,2025-09-01
INV92043,27,5-12L,Maharashtra,Tier1,SIP,25000,119092,2024-05-05
INV16230,61,25L+,West Bengal,Tier3,SIP,2000,120841,2022-04-11
INV25493,63,5-12L,Delhi,Tier3,SIP,1000,119551,2026-03-23
INV27990,26,25L+,MP,Tier1,Lumpsum,10000,125497,2026-04-11
INV65719,58,12-25L,Kerala,Tier2,Lumpsum,500,119551,2024-05-23
INV44925,45,25L+,MP,Tier1,Lumpsum,50000,119092,2024-02-12
INV51098,41,25L+,Gujarat,Tier1,SIP,2000,125497,2022-05-24
INV75145,25,12-25L,Punjab,Tier3,Redemption,5000,120841,2024-09-06
INV17808,23,5-12L,Karnataka,Tier3,Redemption,1000,119092,2022-12-16
INV44518,44,12-25L,Kerala,Tier3,SIP,50000,118632,2022-03-20
INV41980,28,25L+,Maharashtra,Tier1,SIP,1000,120503,2025-12-30
INV33473,45,12-25L,Rajasthan,Tier3,Lumpsum,1000,120841,2024-09-15
INV68669,59,12-25L,Kerala,Tier1,SIP,2000,120503,2022-12-28
INV46643,40,12-25L,Kerala,Tier3,Lumpsum,2000,125497,2024-05-14
INV48071,29,12-25L,Delhi,Tier1,SIP,10000,125497,2023-11-27
INV82718,31,25L+,Telangana,Tier3,Redemption,1000,119092,2022-10-28
INV83993,26,12-25L,UP,Tier2,SIP,5000,120841,2023-11-30
INV34921,64,5-12L,UP,Tier2,SIP,5000,120841,2022-04-17
INV76053,47,5-12L,Tamil Nadu,Tier3,SIP,10000,118632,2026-04-20
INV11559,42,12-25L,MP,Tier1,SIP,5000,119092,2025-08-08
INV74767,49,25L+,Punjab,Tier3,SIP,2000,119551,2025-10-01
INV79345,49,5-12L,Gujarat,Tier2,SIP,10000,120841,2026-03-17
INV73440,37,12-25L,UP,Tier2,SIP,25000,125497,2025-03-24
INV54086,41,12-25L,Tamil Nadu,Tier2,SIP,25000,120503,2022-11-14
INV43654,48,5-12L,Telangana,Tier1,SIP,50000,118632,2022-06-27
INV18976,63,25L+,Karnataka,Tier1,SIP,1000,119551,2024-04-27
INV27014,59,25L+,Punjab,Tier1,SIP,10000,119092,2023-07-27
INV80881,42,25L+,Karnataka,Tier2,SIP,1000,120503,2022-07-23
INV73636,45,25L+,Telangana,Tier1,SIP,500,119551,2025-06-05
INV62341,54,5-12L,Punjab,Tier1,Lumpsum,5000,119551,2023-01-21
INV40566,37,5-12L,Tamil Nadu,Tier1,SIP,5000,119092,2023-01-21
INV91889,54,5-12L,Delhi,Tier1,SIP,1000,125497,2023-12-04
INV73088,35,25L+,Gujarat,Tier3,Lumpsum,1000,125497,2026-01-28
INV42845,43,12-25L,Rajasthan,Tier1,Redemption,50000,120503,2024-09-08
INV49695,60,25L+,MP,Tier2,SIP,25000,119092,2022-05-10
INV73943,22,12-25L,UP,Tier2,SIP,5000,120503,2024-06-28
INV78711,45,12-25L,MP,Tier3,SIP,500,119551,2025-06-22
INV16182,58,25L+,Kerala,Tier3,Lumpsum,50000,125497,2023-05-18
INV21537,39,25L+,Delhi,Tier3,Redemption,10000,120503,2023-07-06
INV99508,45,12-25L,Delhi,Tier1,SIP,1000,119092,2022-04-03
INV66643,62,25L+,Gujarat,Tier1,Lumpsum,25000,119092,2022-11-04
INV76587,29,5-12L,Punjab,Tier3,Redemption,1000,119092,2022-08-13
INV36947,51,25L+,Punjab,Tier2,SIP,1000,120503,2026-03-24
INV60549,33,5-12L,UP,Tier3,SIP,5000,119092,2025-05-26
INV64746,55,12-25L,Gujarat,Tier3,SIP,25000,119092,2022-01-07
INV61479,46,12-25L,Kerala,Tier3,SIP,500,120841,2024-04-10
INV75597,56,25L+,Karnataka,Tier1,Lumpsum,2000,125497,2023-08-18
INV31291,30,5-12L,Tamil Nadu,Tier2,SIP,2000,119092,2025-10-10
INV57378,49,25L+,Telangana,Tier1,SIP,50000,118632,2023-10-08
INV31881,61,5-12L,Tamil Nadu,Tier3,Lumpsum,25000,120841,2022-06-06
INV47264,42,5-12L,Tamil Nadu,Tier1,SIP,1000,119551,2023-04-09
INV27301,56,5-12L,MP,Tier2,SIP,25000,118632,2023-03-15
INV20670,32,5-12L,Karnataka,Tier1,SIP,50000,120841,2022-12-26
INV46257,58,12-25L,Gujarat,Tier1,SIP,500,119092,2024-10-19
INV49011,55,5-12L,Tamil Nadu,Tier2,Lumpsum,50000,119551,2025-09-19
INV16523,31,12-25L,Maharashtra,Tier3,SIP,50000,125497,2024-09-17
INV58389,54,12-25L,Karnataka,Tier1,Redemption,25000,125497,2025-03-11
INV97769,40,5-12L,MP,Tier1,Lumpsum,5000,125497,2025-08-05
INV24511,54,12-25L,Delhi,Tier2,SIP,500,119551,2024-03-15
INV70513,43,12-25L,West Bengal,Tier3,Lumpsum,2000,120841,2026-01-01
INV81835,32,25L+,Telangana,Tier1,SIP,10000,119092,2022-10-29
INV40325,56,12-25L,Kerala,Tier1,Redemption,25000,125497,2026-04-24
INV45304,37,12-25L,Rajasthan,Tier2,Redemption,5000,119551,2022-05-31
INV63763,39,12-25L,MP,Tier1,Lumpsum,1000,118632,2023-09-05
INV64904,64,12-25L,MP,Tier3,Lumpsum,2000,119551,2023-06-23
INV31185,48,5-12L,Rajasthan,Tier3,SIP,25000,120503,2022-12-19
INV92607,52,5-12L,West Bengal,Tier2,SIP,5000,120503,2023-07-12
INV83641,59,25L+,Maharashtra,Tier3,Redemption,2000,120841,2022-03-23
INV42384,54,12-25L,Delhi,Tier2,Lumpsum,50000,119092,2025-11-18
INV36814,31,12-25L,West Bengal,Tier2,SIP,25000,119092,2023-01-05
INV46686,23,12-25L,Kerala,Tier2,SIP,10000,120503,2025-04-05
INV93520,44,5-12L,UP,Tier1,SIP,5000,119551,2022-11-19
INV11557,60,25L+,Punjab,Tier1,SIP,2000,125497,2022-08-14
INV33679,63,5-12L,MP,Tier3,SIP,50000,119092,2022-09-28
INV36186,31,5-12L,Karnataka,Tier1,SIP,500,125497,2026-05-03
INV17892,25,5-12L,Karnataka,Tier2,SIP,25000,125497,2025-05-24
INV13352,49,12-25L,MP,Tier1,SIP,10000,120841,2025-02-14
INV47309,41,25L+,Gujarat,Tier1,SIP,5000,120503,2025-06-28
INV80326,33,12-25L,Karnataka,Tier3,Lumpsum,1000,119092,2023-06-13
INV95760,51,12-25L,MP,Tier3,Lumpsum,500,119551,2023-05-08
INV77739,31,12-25L,Telangana,Tier2,SIP,50000,120841,2024-06-29
INV32383,34,12-25L,West Bengal,Tier1,SIP,10000,125497,2024-09-24
INV93225,27,5-12L,Telangana,Tier2,Lumpsum,10000,118632,2022-04-29
INV77614,41,5-12L,Gujarat,Tier2,SIP,500,119551,2023-12-07
INV84924,53,25L+,Tamil Nadu,Tier3,SIP,25000,125497,2025-05-01
INV96482,42,12-25L,UP,Tier1,Redemption,10000,120841,2024-02-26
INV96307,44,12-25L,Rajasthan,Tier3,SIP,25000,120503,2024-04-05
INV70175,42,12-25L,Kerala,Tier2,SIP,5000,120841,2026-03-20
INV56180,41,12-25L,Tamil Nadu,Tier2,SIP,1000,118632,2022-01-01
INV68154,40,12-25L,Punjab,Tier2,SIP,25000,119551,2024-06-30
INV97798,28,5-12L,Kerala,Tier3,SIP,1000,119551,2023-06-06
INV45575,49,5-12L,Gujarat,Tier1,SIP,25000,119551,2025-12-20
INV95001,43,5-12L,Punjab,Tier2,Redemption,25000,119092,2022-12-25
INV75298,34,12-25L,Delhi,Tier3,SIP,1000,119092,2026-05-09
INV10793,64,5-12L,West Bengal,Tier2,Lumpsum,10000,120503,2026-02-01
INV39018,30,12-25L,West Bengal,Tier3,SIP,25000,120841,2023-12-05
INV31741,64,12-25L,Kerala,Tier3,Lumpsum,50000,120841,2023-03-07
INV13397,35,12-25L,West Bengal,Tier1,SIP,5000,118632,2024-10-15
INV47129,39,25L+,Telangana,Tier3,SIP,2000,118632,2022-07-23
INV48707,30,12-25L,MP,Tier3,SIP,5000,125497,2025-04-29
INV98619,45,5-12L,Maharashtra,Tier3,SIP,2000,119551,2024-11-15
INV90259,33,25L+,Maharashtra,Tier1,SIP,500,119092,2022-02-04
INV12000,58,5-12L,Karnataka,Tier2,SIP,10000,119092,2023-12-10
INV44438,25,12-25L,Punjab,Tier2,SIP,50000,118632,2022-10-13
INV63458,60,12-25L,West Bengal,Tier3,SIP,1000,119092,2024-11-21
INV22686,53,5-12L,Rajasthan,Tier3,SIP,50000,118632,2023-04-26
INV92885,42,25L+,Gujarat,Tier3,SIP,1000,125497,2023-07-18
INV53382,52,12-25L,Maharashtra,Tier1,SIP,5000,119551,2024-09-03
INV66842,55,12-25L,Punjab,Tier1,SIP,10000,120841,2024-01-31
INV65875,47,25L+,Tamil Nadu,Tier1,SIP,500,118632,2023-12-29
INV24611,39,5-12L,Tamil Nadu,Tier1,Redemption,25000,120503,2022-11-19
INV64772,61,12-25L,Maharashtra,Tier1,Redemption,50000,118632,2022-01-20
INV88573,54,25L+,Kerala,Tier1,Redemption,50000,119551,2024-05-30
INV81040,25,5-12L,MP,Tier1,SIP,10000,120503,2023-10-30
INV67434,46,12-25L,Karnataka,Tier2,SIP,25000,119092,2025-03-13
INV26507,58,12-25L,UP,Tier3,SIP,5000,120841,2026-04-01
INV21738,53,5-12L,Gujarat,Tier3,SIP,1000,119092,2024-01-13
INV63379,62,12-25L,Telangana,Tier1,Lumpsum,1000,118632,2023-08-29
INV27982,58,25L+,Tamil Nadu,Tier2,Redemption,10000,125497,2023-02-17
INV18552,51,12-25L,Kerala,Tier2,SIP,1000,119092,2024-12-14
INV87187,36,5-12L,Maharashtra,Tier2,Lumpsum,5000,125497,2023-04-02
INV56031,36,5-12L,MP,Tier3,Lumpsum,5000,125497,2023-12-16
INV82085,62,5-12L,Rajasthan,Tier1,Lumpsum,500,119092,2024-02-22
INV35453,28,5-12L,Karnataka,Tier1,SIP,10000,118632,2023-04-04
INV50924,28,5-12L,UP,Tier3,SIP,2000,119551,2023-03-24
INV48314,23,25L+,Rajasthan,Tier1,SIP,2000,119092,2022-06-23
INV47198,22,12-25L,Tamil Nadu,Tier2,SIP,5000,119092,2025-07-20
INV10527,38,25L+,West Bengal,Tier1,SIP,10000,118632,2024-04-04
INV78084,36,25L+,UP,Tier3,Lumpsum,500,120841,2026-02-16
INV39215,22,25L+,Rajasthan,Tier1,SIP,25000,119092,2025-06-14
INV55151,49,5-12L,Kerala,Tier3,SIP,50000,120503,2023-12-13
INV96384,45,12-25L,Karnataka,Tier3,Redemption,2000,119551,2022-01-26
INV17005,41,5-12L,MP,Tier2,SIP,2000,125497,2026-04-14
INV36197,42,5-12L,Karnataka,Tier1,Redemption,500,120841,2023-03-02
INV80986,43,5-12L,Karnataka,Tier2,Redemption,2000,119092,2024-03-14
INV98828,63,25L+,Delhi,Tier3,Lumpsum,5000,125497,2023-12-19
INV21600,34,12-25L,MP,Tier3,SIP,2000,120841,2026-04-12
INV30408,30,25L+,Delhi,Tier1,SIP,500,118632,2022-11-17
INV74292,51,12-25L,Tamil Nadu,Tier2,SIP,10000,118632,2023-07-23
INV46045,37,5-12L,Telangana,Tier2,SIP,5000,125497,2025-09-26
INV15013,46,5-12L,Tamil Nadu,Tier1,SIP,50000,119092,2022-03-04
INV60809,43,12-25L,Karnataka,Tier3,Lumpsum,1000,120503,2022-07-29
INV36700,56,25L+,Kerala,Tier1,Lumpsum,10000,120503,2025-02-15
INV71660,64,12-25L,Gujarat,Tier2,SIP,1000,119092,2024-05-03
INV80372,29,12-25L,Rajasthan,Tier2,Redemption,500,118632,2023-02-28
INV33293,23,25L+,Karnataka,Tier3,SIP,1000,119092,2022-02-22
INV41705,34,5-12L,Tamil Nadu,Tier3,SIP,2000,120841,2023-06-27
INV40751,36,5-12L,Karnataka,Tier2,SIP,500,119551,2025-04-25
INV63954,64,12-25L,Kerala,Tier1,SIP,5000,120841,2023-05-19
INV12999,55,5-12L,Punjab,Tier3,Lumpsum,25000,119551,2023-11-26
INV20964,54,25L+,Punjab,Tier3,Redemption,2000,120503,2022-05-31
INV93434,64,12-25L,Punjab,Tier1,SIP,500,125497,2022-02-24
INV70188,55,25L+,Punjab,Tier3,Lumpsum,10000,120503,2022-06-06
INV77675,33,25L+,Gujarat,Tier3,SIP,500,120503,2023-03-01
INV97406,38,25L+,UP,Tier1,SIP,50000,120841,2025-11-30
INV92506,40,25L+,Delhi,Tier3,SIP,5000,120503,2023-02-16
INV43701,43,5-12L,Karnataka,Tier3,SIP,2000,118632,2023-10-24
INV53497,57,25L+,Delhi,Tier3,Lumpsum,50000,120503,2026-03-29
INV62043,58,5-12L,Karnataka,Tier3,SIP,5000,119551,2025-08-02
INV37299,47,5-12L,Delhi,Tier1,SIP,50000,120503,2024-06-21
INV44495,53,5-12L,Maharashtra,Tier2,Lumpsum,10000,125497,2022-04-19
INV55794,44,5-12L,Delhi,Tier1,SIP,10000,120503,2026-02-08
INV33511,60,5-12L,Tamil Nadu,Tier1,SIP,2000,120503,2025-02-22
INV54188,41,12-25L,Karnataka,Tier3,Redemption,500,119092,2023-12-30
INV38302,59,5-12L,UP,Tier3,SIP,50000,120841,2022-07-02
INV62602,61,12-25L,Kerala,Tier2,SIP,2000,119092,2023-12-25
INV76367,39,5-12L,Tamil Nadu,Tier2,SIP,50000,120503,2025-02-02
INV65117,24,12-25L,Maharashtra,Tier1,SIP,10000,118632,2024-11-14
INV50115,26,25L+,Kerala,Tier3,Lumpsum,25000,120503,2022-08-07
INV86548,35,25L+,Gujarat,Tier3,SIP,5000,120841,2022-04-08
INV52198,37,12-25L,Delhi,Tier2,SIP,2000,119092,2023-02-24
INV37652,48,5-12L,Gujarat,Tier1,SIP,2000,120841,2025-05-19
INV11514,38,5-12L,Rajasthan,Tier1,SIP,50000,125497,2025-12-26
INV92065,56,12-25L,Maharashtra,Tier3,Lumpsum,5000,118632,2026-04-28
INV82041,41,5-12L,Karnataka,Tier2,SIP,5000,119092,2025-04-17
INV12682,43,5-12L,Telangana,Tier3,SIP,50000,120841,2024-09-06
INV50164,54,12-25L,MP,Tier2,SIP,50000,125497,2024-06-08
INV73807,31,5-12L,MP,Tier3,SIP,10000,125497,2022-10-28
INV90728,36,25L+,Telangana,Tier1,SIP,1000,120503,2025-11-21
INV74018,54,5-12L,Tamil Nadu,Tier1,Redemption,2000,125497,2025-02-07
INV62807,48,5-12L,Delhi,Tier2,SIP,2000,125497,2025-03-11
INV65507,23,25L+,Maharashtra,Tier3,Redemption,25000,119551,2025-04-25
INV28981,42,5-12L,UP,Tier3,SIP,5000,119092,2024-04-14
INV60416,40,5-12L,Rajasthan,Tier2,Redemption,50000,119092,2022-05-06
INV45295,38,5-12L,Tamil Nadu,Tier3,SIP,2000,119551,2022-10-07
INV19107,54,25L+,UP,Tier2,SIP,50000,120841,2022-04-18
INV12391,39,25L+,Maharashtra,Tier1,Redemption,1000,119551,2022-12-01
INV21008,30,5-12L,West Bengal,Tier2,SIP,5000,125497,2023-08-26
INV38131,57,5-12L,Karnataka,Tier3,Lumpsum,2000,119551,2025-10-21
INV84920,37,12-25L,West Bengal,Tier2,SIP,500,119092,2022-04-21
INV56525,53,25L+,Delhi,Tier1,SIP,25000,120841,2025-10-12
INV73677,57,5-12L,Karnataka,Tier1,SIP,500,118632,2025-09-27
INV76148,32,12-25L,West Bengal,Tier3,Lumpsum,2000,120841,2024-02-22
INV12521,43,25L+,Kerala,Tier2,Lumpsum,1000,120841,2022-03-24
INV36149,42,5-12L,MP,Tier1,Lumpsum,10000,119092,2023-02-26
INV84471,39,5-12L,Gujarat,Tier2,SIP,5000,120503,2023-06-08
INV72659,35,25L+,Delhi,Tier3,SIP,2000,119092,2025-10-27
INV29077,47,12-25L,Karnataka,Tier2,Lumpsum,10000,125497,2023-01-16
INV49303,28,12-25L,Maharashtra,Tier1,Lumpsum,500,119551,2026-04-29
INV34258,23,12-25L,Telangana,Tier1,SIP,500,120503,2025-04-24
INV85988,37,12-25L,Maharashtra,Tier1,Redemption,10000,120841,2023-02-17
INV45672,30,12-25L,Karnataka,Tier2,SIP,5000,119551,2025-06-21
INV72256,54,12-25L,MP,Tier2,SIP,25000,118632,2024-06-08
INV77158,34,25L+,Delhi,Tier2,Lumpsum,50000,120841,2026-04-09
INV54946,39,5-12L,West Bengal,Tier3,SIP,5000,120503,2023-01-14
INV97903,44,5-12L,Maharashtra,Tier3,SIP,50000,125497,2022-11-13
INV77601,54,25L+,Karnataka,Tier1,Lumpsum,50000,125497,2022-04-20
INV15002,51,25L+,Rajasthan,Tier1,Lumpsum,25000,120841,2025-02-23
INV89132,47,12-25L,Delhi,Tier3,Redemption,10000,125497,2024-07-29
INV27148,50,12-25L,UP,Tier3,Redemption,25000,120503,2022-09-14
INV10575,30,25L+,West Bengal,Tier2,SIP,5000,125497,2022-03-20
INV53384,39,25L+,West Bengal,Tier3,SIP,10000,118632,2025-02-26
INV27031,49,5-12L,Punjab,Tier3,SIP,10000,125497,2024-08-27
INV79991,26,5-12L,Delhi,Tier3,Lumpsum,5000,118632,2024-12-22
INV39789,25,12-25L,Rajasthan,Tier1,Lumpsum,1000,120841,2025-08-16
INV44199,47,25L+,Rajasthan,Tier1,SIP,2000,120841,2025-10-14
INV13224,53,12-25L,West Bengal,Tier1,SIP,2000,119092,2022-08-17
INV43821,30,5-12L,Gujarat,Tier3,SIP,50000,120841,2023-01-11
INV95022,26,5-12L,Gujarat,Tier1,SIP,25000,120841,2025-05-21
INV82125,56,12-25L,Karnataka,Tier3,Redemption,10000,119551,2023-10-06
INV27324,24,25L+,Kerala,Tier3,SIP,50000,120841,2024-06-02
