scheme_code,scheme_name,nav,nav_date
127470,Bandhan Banking and PSU Fund - Regular Daily IDCW,10.8616,01-Jun-2026
121931,Bandhan Banking and PSU Fund - Regular Fortnightly IDCW,10.5973,01-Jun-2026
121280,Bandhan Banking and PSU Fund - Regular Growth,25.6164,01-Jun-2026
121282,Bandhan Banking and PSU Fund - Regular IDCW,13.8327,01-Jun-2026
121932,Bandhan Banking and PSU Fund - Regular Monthly IDCW,10.6798,01-Jun-2026
121937,Bandhan Banking and PSU Fund - Regular Quarterly IDCW,10.9030,01-Jun-2026
150505,Canara Robeco Banking and PSU Debt Fund- Direct Plan- Growth Option,12.6240,01-Jun-2026
150507,Canara Robeco Banking and PSU Debt Fund- Direct Plan- IDCW Payout,10.8490,01-Jun-2026
150503,Canara Robeco Banking and PSU Debt Fund- Regular Plan- Growth Option,12.4804,01-Jun-2026
150504,Canara Robeco Banking and PSU Debt Fund- Regular Plan- IDCW (Payout/ Reinvestment),10.7374,01-Jun-2026
124175,DSP Banking & PSU Debt Fund - Direct Plan - Growth,25.7135,01-Jun-2026
124178,DSP Banking & PSU Debt Fund - Direct Plan - IDCW,10.3774,01-Jun-2026
124182,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Daily Reinvest,10.1632,01-Jun-2026
124176,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Monthly,10.3812,01-Jun-2026
124177,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Quarterly,10.4385,01-Jun-2026
124183,DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Weekly,10.1587,01-Jun-2026
124172,DSP Banking & PSU Debt Fund - Regular Plan - Growth,24.7721,01-Jun-2026
124174,DSP Banking & PSU Debt Fund - Regular Plan - IDCW,10.3692,01-Jun-2026
124173,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Daily Reinvest,10.1602,01-Jun-2026
124180,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Monthly,10.3624,01-Jun-2026
124181,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Quarterly,10.4256,01-Jun-2026
124179,DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Weekly,10.1569,01-Jun-2026
140286,Edelweiss Banking and PSU Debt Fund - Direct Plan - Growth Option,26.4935,01-Jun-2026
140288,Edelweiss Banking and PSU Debt Fund - Direct Plan - IDCW Option,18.3516,01-Jun-2026
140291,Edelweiss Banking and PSU Debt Fund - Direct Plan Fortnightly - IDCW Option,14.3488,01-Jun-2026
140293,Edelweiss Banking and PSU Debt Fund - Direct Plan Monthly - IDCW Option,10.9161,01-Jun-2026
140290,Edelweiss Banking and PSU Debt Fund - Direct Plan weekly - IDCW Option,10.5504,01-Jun-2026
140283,Edelweiss Banking and PSU Debt Fund - Regular Plan - Growth Option,25.498,01-Jun-2026
140284,Edelweiss Banking and PSU Debt Fund - Regular Plan - IDCW Option,17.4309,01-Jun-2026
140294,Edelweiss Banking and PSU Debt Fund - Regular Plan Fortnightly - IDCW Option,13.8727,01-Jun-2026
140292,Edelweiss Banking and PSU Debt Fund - Regular Plan Monthly - IDCW Option,11.1595,01-Jun-2026
140289,Edelweiss Banking and PSU Debt Fund - Regular Plan Weekly - IDCW Option,10.1401,01-Jun-2026
129008,Franklin India Banking & PSU Debt Fund - Direct - Growth,24.7359,01-Jun-2026
129006,Franklin India Banking & PSU Debt Fund - Growth,23.6111,01-Jun-2026
129009,Franklin India Banking and PSU Debt Fund - Direct - IDCW,11.5384,01-Jun-2026
129007,Franklin India Banking and PSU Debt Fund - IDCW,10.9084,01-Jun-2026
128628,HDFC Banking and PSU Debt Fund - Growth Option,23.8311,01-Jun-2026
128629,HDFC Banking and PSU Debt Fund - Growth Option - Direct Plan,24.8992,01-Jun-2026
128627,HDFC Banking and PSU Debt Fund - IDCW Option,10.1238,01-Jun-2026
128626,HDFC Banking and PSU Debt Fund - IDCW Option - Direct Plan,10.0182,01-Jun-2026
151108,HSBC Banking and PSU Debt Fund - Direct Daily IDCW,11.1699,01-Jun-2026
151107,HSBC Banking and PSU Debt Fund - Direct Growth,26.595,01-Jun-2026
151106,HSBC Banking and PSU Debt Fund - Direct Monthly IDCW,11.0619,01-Jun-2026
151109,HSBC Banking and PSU Debt Fund - Direct Weekly IDCW,10.3352,01-Jun-2026
151102,HSBC Banking and PSU Debt Fund - Regular Daily IDCW,11.0927,01-Jun-2026
151104,HSBC Banking and PSU Debt Fund - Regular Growth,25.1725,01-Jun-2026
151105,HSBC Banking and PSU Debt Fund - Regular Monthly IDCW,10.2733,01-Jun-2026
151103,HSBC Banking and PSU Debt Fund - Regular Weekly IDCW,10.3043,01-Jun-2026
112343,ICICI Prudential Banking and PSU Debt Fund -  Daily IDCW,10.0549,16-Sep-2022
112344,ICICI Prudential Banking and PSU Debt Fund -  Weekly IDCW,10.2427,16-Sep-2022
130897,ICICI Prudential Banking and PSU Debt Fund - Bonus,15.8889,24-Apr-2020
120257,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Daily IDCW,10.2538,16-Sep-2022
120256,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth,35.6417,01-Jun-2026
120258,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Quarterly IDCW,12.9906,01-Jun-2026
120255,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Weekly IDCW,10.3708,16-Sep-2022
130950,ICICI Prudential Banking and PSU Debt Fund - Direct Plan Bonus,13.8665,10-Apr-2018
131148,ICICI Prudential Banking and PSU Debt Fund - Direct Plan Half Yearly IDCW Option,13.1098,16-Sep-2022
112342,ICICI Prudential Banking and PSU Debt Fund - Growth,34.0856,01-Jun-2026
116174,ICICI Prudential Banking and PSU Debt Fund - Quarterly IDCW,10.9895,01-Jun-2026
131147,ICICI Prudential Banking and PSU Debt Fund Half Yearly IDCW Option,12.9261,16-Sep-2022
113247,ICICI Prudential Banking and PSU Debt Fund Retail Daily Dividend,10.0122,24-Apr-2020
113242,ICICI Prudential Banking and PSU Debt Fund Retail Growth,21.631,24-Apr-2020
113243,ICICI Prudential Banking and PSU Debt Fund Retail Weekly Dividend,10.3305,20-Aug-2015
120444,Invesco India Banking and PSU Fund - Direct Plan -  Growth Option,2518.0567,01-Jun-2026
120443,Invesco India Banking and PSU Fund - Direct Plan - Daily IDCW (Reinvestment),1062.2704,01-Jun-2026
120445,Invesco India Banking and PSU Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment),1010.8876,01-Jun-2026
118234,Invesco India Banking and PSU Fund - Regular Plan - Daily IDCW (Reinvestment),1048.9032,01-Jun-2026
118232,Invesco India Banking and PSU Fund - Regular Plan - Growth Option,2343.9846,01-Jun-2026
118233,Invesco India Banking and PSU Fund - Regular Plan - Monthly IDCW (Payout / Reinvestment),1061.7467,01-Jun-2026
148534,ITI Banking & PSU Debt Fund - Direct Plan - Growth Option,13.9573,01-Jun-2026
148536,ITI Banking & PSU Debt Fund - Direct Plan - IDCW Option,13.9557,01-Jun-2026
148535,ITI Banking & PSU Debt Fund - Regular Plan - Growth Option,13.5336,01-Jun-2026
148533,ITI Banking & PSU Debt Fund - Regular Plan - IDCW Option,13.5348,01-Jun-2026
123690,Kotak Banking and PSU Debt - Growth,68.0064,01-Jun-2026
123691,Kotak Banking and PSU Debt - Monthly Payout of Income Distribution cum capital withdrawal option,12.777,01-Jun-2026
123689,Kotak Banking and PSU Debt Direct - Annual Dividend,17.1427,15-Sep-2017
123693,Kotak Banking and PSU Debt Direct - Growth,71.086,01-Jun-2026
123692,Kotak Banking and PSU Debt Direct - Monthly Payout of Income Distribution cum capital withdrawal option,10.2392,01-Jun-2026
120337,LIC MF Banking & PSU Fund-Direct Plan-Daily IDCW,14.2997,01-Jun-2026
120338,LIC MF Banking & PSU Fund-Direct Plan-Growth,39.1052,01-Jun-2026
120339,LIC MF Banking & PSU Fund-Direct Plan-Monthly IDCW,14.7275,01-Jun-2026
120336,LIC MF Banking & PSU Fund-Direct Plan-Weekly IDCW,10.0507,01-Jun-2026
105822,LIC MF Banking & PSU Fund-Regular Plan-Daily IDCW,11.5847,01-Jun-2026
105823,LIC MF Banking & PSU Fund-Regular Plan-Growth,36.1076,01-Jun-2026
105856,LIC MF Banking & PSU Fund-Regular Plan-Monthly IDCW,13.5138,01-Jun-2026
105857,LIC MF Banking & PSU Fund-Regular Plan-Weekly IDCW,10.3805,01-Jun-2026
148419,Mirae Asset Banking and PSU Fund - Direct Plan - Growth,13.7281,01-Jun-2026
148417,Mirae Asset Banking and PSU Fund - Direct Plan - IDCW,13.7213,01-Jun-2026
148416,Mirae Asset Banking and PSU Fund - Regular Plan - Growth,13.3717,01-Jun-2026
148418,Mirae Asset Banking and PSU Fund - Regular plan - IDCW,13.3729,01-Jun-2026
134555,NIPPON INDIA BANKING and PSU  FUND - Direct Plan - IDCW Option,22.3575,01-Jun-2026
134553,NIPPON INDIA BANKING and PSU  FUND - WEEKLY IDCW Option,10.2550,01-Jun-2026
134547,Nippon India Banking and PSU  Fund- Direct Plan-Growth Plan- Growth Option,22.3575,01-Jun-2026
134550,NIPPON INDIA BANKING and PSU FUND - Direct Plan - MONTHLY IDCW Option,10.7420,01-Jun-2026
134556,NIPPON INDIA BANKING and PSU FUND - Direct Plan - QUARTERLY IDCW Option,10.8605,01-Jun-2026
134554,NIPPON INDIA BANKING and PSU FUND - Direct Plan - WEEKLY IDCW Option,10.2585,01-Jun-2026
134548,NIPPON INDIA BANKING and PSU FUND - IDCW Option,21.4662,01-Jun-2026
134549,NIPPON INDIA BANKING and PSU FUND - MONTHLY IDCW Option,10.6685,01-Jun-2026
134551,NIPPON INDIA BANKING and PSU FUND - QUARTERLY IDCW Option,10.7913,01-Jun-2026
134552,Nippon India Banking and PSU Fund- Direct Plan-Growth Plan- Bonus Option,22.3569,01-Jun-2026
134546,Nippon India Banking and PSU Fund- Growth Plan- Bonus Option,12.3452,02-Feb-2018
134545,Nippon India Banking and PSU Fund- Growth Plan- Growth Option,21.4662,01-Jun-2026
125502,SBI Banking & PSU Fund - Direct Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW),1519.5156,01-Jun-2026
125503,SBI BANKING & PSU FUND - Direct Plan - Growth,3449.7420,01-Jun-2026
125505,SBI Banking & PSU Fund - Direct Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW),1300.9407,01-Jun-2026
125504,SBI Banking & PSU Fund - Direct Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),1516.1416,01-Jun-2026
125498,SBI BANKING & PSU FUND - Regular Paln - Growth,3234.6327,01-Jun-2026
125499,SBI Banking & PSU Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW),1475.7292,01-Jun-2026
125501,SBI Banking & PSU Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW),1212.1413,01-Jun-2026
125500,SBI Banking & PSU Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),1475.3787,01-Jun-2026
134363,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Growth,11.7065,17-Mar-2017
134370,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Monthly Dividend,11.4008,17-Mar-2017
134369,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Quarterly Dividend,10.6356,31-Mar-2016
134355,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Annual Bonus,11.6319,17-Feb-2017
134358,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Daily Dividend Reinvestment,11.6582,17-Mar-2017
134356,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Growth,11.6493,17-Mar-2017
134359,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Monthly Dividend,11.1411,17-Mar-2017
134361,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Quarterly Bonus,11.1681,16-Aug-2016
134362,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Quarterly Dividend,11.0236,17-Mar-2017
134360,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Weekly Dividend,10.1418,17-Mar-2017
119629,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Bonus,21.8981,27-Jun-2025
119627,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),10.2300,28-Jun-2024
119625,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Growth,45.4686,01-Jun-2026
119626,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Income Distribution cum Capital Withdrawal (IDCW),11.3195,01-Jun-2026
118326,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Bonus,21.7644,27-Jun-2025
100782,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),10.3550,28-Jun-2024
100784,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Growth,44.7691,01-Jun-2026
100793,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Income Distribution cum Capital Withdrawal (IDCW),11.3454,01-Jun-2026
100783,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Weekly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),12.1035,28-Jun-2024
100781,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Growth,35.6206,28-Jun-2024
100780,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW),11.4908,28-Jun-2024
140135,UTI Banking & PSU Fund - Direct Plan - Annual IDCW,13.4299,01-Jun-2026
133972,UTI Banking & PSU Fund - Direct Plan - Flexi IDCW,20.2092,01-Jun-2026
126940,UTI Banking & PSU Fund - Direct Plan - Growth Option,23.4519,01-Jun-2026
141375,UTI Banking & PSU Fund - Direct Plan - Half-Yearly IDCW,15.5621,01-Jun-2026
134026,UTI Banking & PSU Fund - Direct Plan - Monthly IDCW,13.5911,01-Jun-2026
126942,UTI Banking & PSU Fund - Direct Plan - Quarterly IDCW,17.4549,01-Jun-2026
140116,UTI Banking & PSU Fund - Regular Plan - Annual IDCW,13.1446,01-Jun-2026
133971,UTI Banking & PSU Fund - Regular Plan - Flexi IDCW,15.4275,01-Jun-2026
139407,UTI Banking & PSU Fund - Regular Plan - Half-Yearly IDCW,15.3628,01-Jun-2026
136110,UTI Banking & PSU Fund - Regular Plan - Monthly IDCW,13.3263,01-Jun-2026
126941,UTI Banking & PSU Fund - Regular Plan - Quarterly IDCW,15.7872,01-Jun-2026
126939,UTI Banking & PSU Fund- Regular Plan - Growth Option,23.0051,01-Jun-2026
119533,Aditya Birla Sun Life Corporate Bond Fund - Growth - Direct Plan,118.891,01-Jun-2026
103178,Aditya Birla Sun Life Corporate Bond Fund - Growth - Regular Plan,116.7069,01-Jun-2026
124832,Aditya Birla Sun Life Corporate Bond Fund -DIRECT - IDCW,10.4051,01-Jun-2026
119532,Aditya Birla Sun Life Corporate Bond Fund -DIRECT - MONTHLY IDCW,12.6664,01-Jun-2026
124833,Aditya Birla Sun Life Corporate Bond Fund -REGULAR - IDCW,11.6662,01-Jun-2026
103183,Aditya Birla Sun Life Corporate Bond Fund -REGULAR - MONTHLY IDCW,12.4503,01-Jun-2026
141586,Axis Corporate Bond Fund - Direct Plan - Daily IDCW,10.2194,01-Jun-2026
141590,Axis Corporate Bond Fund - Direct Plan - Monthly IDCW,10.1909,01-Jun-2026
141591,Axis Corporate Bond Fund - Direct Plan - Regular IDCW,14.7543,01-Jun-2026
141587,Axis Corporate Bond Fund - Direct Plan - Weekly IDCW,10.3569,01-Jun-2026
141588,Axis Corporate Bond Fund - Direct Plan Growth,18.9120,01-Jun-2026
141589,Axis Corporate Bond Fund - Regular Plan - Daily IDCW,10.2151,01-Jun-2026
141594,Axis Corporate Bond Fund - Regular Plan - Monthly IDCW,10.1822,01-Jun-2026
141595,Axis Corporate Bond Fund - Regular Plan - Regular IDCW,13.7317,01-Jun-2026
141592,Axis Corporate Bond Fund - Regular Plan - Weekly IDCW,10.2344,01-Jun-2026
141593,Axis Corporate Bond Fund - Regular Plan Growth,17.7734,01-Jun-2026
139201,BANDHAN Corporate Bond Fund - Direct Annual IDCW,10.3036,01-Jun-2026
135916,BANDHAN Corporate Bond Fund - Direct Growth,20.6814,01-Jun-2026
139200,BANDHAN Corporate Bond Fund - Direct Half Yearly IDCW,11.5968,01-Jun-2026
139198,BANDHAN Corporate Bond Fund - Direct Monthly IDCW,10.3494,01-Jun-2026
135917,BANDHAN Corporate Bond Fund - Direct Periodic IDCW,13.7209,01-Jun-2026
139199,BANDHAN Corporate Bond Fund - Direct Quarterly IDCW,10.6949,01-Jun-2026
139204,BANDHAN Corporate Bond Fund - Regular Annual IDCW,10.2896,01-Jun-2026
135914,BANDHAN Corporate Bond Fund - Regular Growth,20.0253,01-Jun-2026
139203,BANDHAN Corporate Bond Fund - Regular Half Yearly IDCW,10.9808,01-Jun-2026
139202,BANDHAN Corporate Bond Fund - Regular Monthly IDCW,10.6027,01-Jun-2026
135915,BANDHAN Corporate Bond Fund - Regular Periodic IDCW,13.4997,01-Jun-2026
139205,BANDHAN Corporate Bond Fund - Regular Quarterly IDCW,10.7220,01-Jun-2026
150230,BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Annual-IDCW Option,11.9642,01-Jun-2026
150229,BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Growth Option,33.2373,01-Jun-2026
150231,BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Monthly-IDCW Option,10.2348,01-Jun-2026
150228,BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Quarterly-IDCW Option,10.3386,01-Jun-2026
150236,BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Annual IDCW Option,12.2557,01-Jun-2026
150237,BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Growth Option,30.5754,01-Jun-2026
150238,BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Monthly IDCW Option,10.4431,01-Jun-2026
150239,BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Quarterly IDCW Option,10.5830,01-Jun-2026
150233,BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - ANNUAL IDCW OPTION,11.8868,01-Jun-2026
150235,BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - GROWTH OPTION,28.7168,01-Jun-2026
150234,BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - MONTHLY IDCW OPTION,10.2791,01-Jun-2026
150232,BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - QUARTERLY IDCW OPTION,10.3510,01-Jun-2026
126685,CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - GROWTH OPTION,24.1689,01-Jun-2026
126686,CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - IDCW (Payout/Reinvestment),12.5443,01-Jun-2026
126687,CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - GROWTH OPTION,22.4237,01-Jun-2026
126688,CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - IDCW (Payout/Reinvestment),11.6552,01-Jun-2026
144646,DSP Corporate Bond Fund - Direct - Growth,17.087,01-Jun-2026
144647,DSP Corporate Bond Fund - Direct - IDCW,11.357,01-Jun-2026
144651,DSP Corporate Bond Fund - Direct - IDCW - Monthly,10.6059,01-Jun-2026
144648,DSP Corporate Bond Fund - Direct - IDCW - Quarterly,11.4569,01-Jun-2026
144644,DSP Corporate Bond Fund - Regular - Growth,16.7558,01-Jun-2026
144650,DSP Corporate Bond Fund - Regular - IDCW,11.3296,01-Jun-2026
144645,DSP Corporate Bond Fund - Regular - IDCW - Monthly,10.5816,01-Jun-2026
144649,DSP Corporate Bond Fund - Regular - IDCW - Quarterly,10.7986,01-Jun-2026
119289,Franklin India Corporate Debt Fund - Direct - Bonus,0.0000,08-May-2015
118569,Franklin India Corporate Debt Fund - Direct - GROWTH,113.7148,01-Jun-2026
100528,Franklin India Corporate Debt Fund - Growth,104.5025,01-Jun-2026
100532,Franklin India Corporate Debt Fund - Monthly Bonus,0.0000,08-Jun-2015
100527,Franklin India Corporate Debt Fund - Plan A - Annual - IDCW,16.6793,01-Jun-2026
118570,Franklin India Corporate Debt Fund - Plan A - Direct - Annual - IDCW,18.7143,01-Jun-2026
118573,Franklin India Corporate Debt Fund - Plan A - Direct - Half yearly - IDCW,14.6725,01-Jun-2026
118571,Franklin India Corporate Debt Fund - Plan A - Direct - Monthly - IDCW,16.8793,01-Jun-2026
118572,Franklin India Corporate Debt Fund - Plan A - Direct - Quarterly - IDCW,13.6585,01-Jun-2026
100531,Franklin India Corporate Debt Fund - Plan B - Half yearly - IDCW,12.4369,01-Jun-2026
100529,Franklin India Corporate Debt Fund - Plan B - Monthly - IDCW,15.1057,01-Jun-2026
100530,Franklin India Corporate Debt Fund - Plan B - Quarterly - IDCW,12.0240,01-Jun-2026
113070,HDFC Corporate Bond Fund - Growth Option,33.578,01-Jun-2026
118987,HDFC Corporate Bond Fund - Growth Option - Direct Plan,34.391,01-Jun-2026
132848,HDFC Corporate Bond Fund - IDCW Option,20.327,01-Jun-2026
132849,HDFC Corporate Bond Fund - IDCW Option - Direct Plan,21.0723,01-Jun-2026
113071,HDFC Corporate Bond Fund - Quarterly IDCW Option,10.5196,01-Jun-2026
118986,HDFC Corporate Bond Fund - Quarterly IDCW Option - Direct Plan,10.4226,01-Jun-2026
151000,HSBC Corporate Bond Fund - Direct Annual IDCW,11.5385,01-Jun-2026
150996,HSBC Corporate Bond Fund - Direct Growth,81.2334,01-Jun-2026
150998,HSBC Corporate Bond Fund - Direct Quarterly IDCW,11.268,01-Jun-2026
150997,HSBC Corporate Bond Fund - Direct Semi Annual IDCW,19.6344,01-Jun-2026
151001,HSBC Corporate Bond Fund - Regular Annual IDCW,11.2601,01-Jun-2026
150992,HSBC Corporate Bond Fund - Regular Growth,76.0693,01-Jun-2026
150993,HSBC Corporate Bond Fund - Regular Quarterly IDCW,10.8517,01-Jun-2026
150994,HSBC Corporate Bond Fund - Regular Semi Annual IDCW,16.3766,01-Jun-2026
150995,HSBC Corporate Bond Fund -Regular Plan - Bonus,28.8952,01-Jun-2026
130947,ICICI Prudential Corporate Bond Fund - Bonus,14.9782,24-Apr-2020
111988,ICICI Prudential Corporate Bond Fund - Daily IDCW,10.1065,16-Sep-2022
120695,ICICI Prudential Corporate Bond Fund - Direct Plan - Daily IDCW,10.1008,16-Sep-2022
120696,ICICI Prudential Corporate Bond Fund - Direct Plan - Fortnightly IDCW,12.1669,16-Sep-2022
120692,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth,32.7512,01-Jun-2026
131152,ICICI Prudential Corporate Bond Fund - Direct Plan - Half Yearly IDCW Option,12.8827,16-Sep-2022
120697,ICICI Prudential Corporate Bond Fund - Direct Plan - Monthly IDCW,10.2223,01-Jun-2026
120694,ICICI Prudential Corporate Bond Fund - Direct Plan - Quarterly IDCW,15.4884,01-Jun-2026
120693,ICICI Prudential Corporate Bond Fund - Direct Plan - Weekly IDCW,10.2332,16-Sep-2022
111990,ICICI Prudential Corporate Bond Fund - Fortnightly IDCW,10.2243,16-Sep-2022
111987,ICICI Prudential Corporate Bond Fund - Growth,31.2052,01-Jun-2026
131151,ICICI Prudential Corporate Bond Fund - Half Yearly IDCW Option,12.6555,16-Sep-2022
